Cidade;Data;Hora;PM10;SO2;NO2;O3;CO
Guaiba;01/01/2019;1:00;22,25;0,14;4,91;26,29;0,5
Guaiba;01/01/2019;2:00;22;0,14;4,04;29,37;0,46
Guaiba;01/01/2019;3:00;32,75;0,15;6,39;41,61;0,46
Guaiba;01/01/2019;4:00;41;0,16;2,27;50,85;0,45
Guaiba;01/01/2019;5:00;41,75;0,15;2,59;45,76;0,46
Guaiba;01/01/2019;6:00;39,25;0,17;3,17;39,43;0,48
Guaiba;01/01/2019;7:00;33;0,065;2,21;37,55;0,47
Guaiba;01/01/2019;8:00;32,5;0,17;9,35;33,93;0,48
Guaiba;01/01/2019;9:00;30;0,18;3,77;46,02;0,48
Guaiba;01/01/2019;10:00;25;0,21;3,03;55,2;0,48
Guaiba;01/01/2019;11:00;29,5;0,19;3,58;69,76;0,47
Guaiba;01/01/2019;12:00;32,25;0,44;3,99;80,15;0,47
Guaiba;01/01/2019;13:00;30;0,58;3,82;82,09;0,46
Guaiba;01/01/2019;14:00;33,5;2,61;16,8;57,91;0,45
Guaiba;01/01/2019;15:00;25;1,51;9,58;56,47;0,4
Guaiba;01/01/2019;16:00;18,5;2,63;3,06;59,48;0,38
Guaiba;01/01/2019;17:00;20,5;1,41;2,08;50,5;0,37
Guaiba;01/01/2019;18:00;41,75;1,11;3,33;45,89;0,4
Guaiba;01/01/2019;19:00;36,25;0,92;6,25;39,06;0,42
Guaiba;01/01/2019;20:00;34;0,75;6,53;31,41;0,46
Guaiba;01/01/2019;21:00;34;0,59;8,6;24,16;0,5
Guaiba;01/01/2019;22:00;29,5;0,71;6,8;21,21;0,47
Guaiba;01/01/2019;23:00;22,5;0,37;4,55;20,99;0,46
Guaiba;02/01/2019;0:00;31,5;0,28;5,49;18,71;0,52
Guaiba;02/01/2019;1:00;24,25;0,25;5,17;17,58;0,5
Guaiba;02/01/2019;2:00;19,75;0,22;4,09;18,32;0,48
Guaiba;02/01/2019;3:00;21,5;0,22;4,41;16,77;0,48
Guaiba;02/01/2019;4:00;25,75;0,23;10,94;7,31;0,47
Guaiba;02/01/2019;5:00;21,5;0,23;16,07;1,57;0,48
Guaiba;02/01/2019;6:00;26,25;0,29;16,15;1,33;0,5
Guaiba;02/01/2019;7:00;32;0,26;16,14;2,96;0,51
Guaiba;02/01/2019;8:00;30,75;0,3;15,23;7,66;0,54
Guaiba;02/01/2019;9:00;28,25;0,27;12,64;27,97;0,5
Guaiba;02/01/2019;10:00;28;0,23;5,28;49,05;0,47
Guaiba;02/01/2019;11:00;32,75;0,23;3,45;60,7;0,46
Guaiba;02/01/2019;12:00;26;0,22;2,84;61,77;0,45
Guaiba;02/01/2019;13:00;28,25;0,29;2,5;60,5;0,44
Guaiba;02/01/2019;14:00;23,5;0,36;2,29;65;0,45
Guaiba;02/01/2019;15:00;27,25;0,37;2,22;67,98;0,45
Guaiba;02/01/2019;16:00;21,25;0,39;1,82;67,2;0,45
Guaiba;02/01/2019;17:00;22,5;0,39;1,92;66,4;0,45
Guaiba;02/01/2019;18:00;41,25;0,4;5,39;62,4;0,47
Guaiba;02/01/2019;19:00;24;0,4;12,15;48,29;0,5
Guaiba;02/01/2019;20:00;73,75;0,39;17,5;39,34;0,52
Guaiba;02/01/2019;21:00;57;0,31;28,55;21,49;0,58
Guaiba;02/01/2019;22:00;60,25;0,39;46,9;4,62;0,7
Guaiba;02/01/2019;23:00;54;0,35;35,54;10,36;0,67
Guaiba;03/01/2019;0:00;53,75;0,3;37,54;3,68;0,69
Guaiba;03/01/2019;1:00;45,5;0,24;26,79;12,42;0,66
Guaiba;03/01/2019;2:00;36,25;0,2;15,28;13,91;0,57
Guaiba;03/01/2019;3:00;24;0,17;9,16;22,93;0,54
Guaiba;03/01/2019;4:00;2,75;0,18;3,33;37,96;0,47
Guaiba;03/01/2019;5:00;8,25;0,065;4,15;37,22;0,48
Guaiba;03/01/2019;6:00;13;0,15;5,47;36,77;0,48
Guaiba;03/01/2019;7:00;14,25;0,065;5,44;34,27;0,49
Guaiba;03/01/2019;8:00;;0,065;3,57;40,87;0,47
Guaiba;03/01/2019;9:00;8;0,065;3,68;42,06;0,46
Guaiba;03/01/2019;10:00;12;0,15;7,13;38,06;0,49
Guaiba;03/01/2019;11:00;11;0,065;8,83;37,52;0,5
Guaiba;03/01/2019;12:00;9,5;0,17;13,4;32,06;0,49
Guaiba;03/01/2019;13:00;6;0,065;6,37;39,9;0,47
Guaiba;03/01/2019;14:00;8;0,065;5,92;41,59;0,48
Guaiba;03/01/2019;15:00;12,33;0,15;10,62;37,91;0,5
Guaiba;03/01/2019;16:00;3,67;0,065;7,74;38,45;0,49
Guaiba;03/01/2019;17:00;12,75;0,14;13,5;34,5;0,53
Guaiba;03/01/2019;18:00;9;0,13;7,85;29,77;0,48
Guaiba;03/01/2019;19:00;10,75;0,065;2,54;28,2;0,43
Guaiba;03/01/2019;20:00;20,25;0,065;1,71;26,9;0,42
Guaiba;03/01/2019;21:00;24,5;0,13;2,12;25,92;0,42
Guaiba;03/01/2019;22:00;27,5;0,065;2,48;25,31;0,41
Guaiba;03/01/2019;23:00;28,5;0,065;2,2;27,42;0,4
Guaiba;04/01/2019;0:00;18,25;0,065;2,89;31,86;0,42
Guaiba;04/01/2019;1:00;18;0,13;7,79;18,09;0,42
Guaiba;04/01/2019;2:00;17,75;0,065;4,66;16,82;0,41
Guaiba;04/01/2019;3:00;20,5;0,065;5,36;14,32;0,4
Guaiba;04/01/2019;4:00;19,75;0,065;6,44;12,84;0,4
Guaiba;04/01/2019;5:00;23,25;0,065;10,15;10,41;0,42
Guaiba;04/01/2019;6:00;27,25;0,14;12,66;9,24;0,43
Guaiba;04/01/2019;7:00;31;0,16;9,42;12,99;0,44
Guaiba;04/01/2019;8:00;31,25;0,23;7,78;15,09;0,44
Guaiba;04/01/2019;9:00;31;0,21;5,55;17,18;0,44
Guaiba;04/01/2019;10:00;31,25;0,24;4,12;20,76;0,43
Guaiba;04/01/2019;11:00;33,75;0,33;9,03;21,94;0,44
Guaiba;04/01/2019;12:00;27,75;2,2;11,97;21,39;0,42
Guaiba;04/01/2019;13:00;35;2,46;10,17;24,47;0,42
Guaiba;04/01/2019;14:00;31;1,58;5,27;26,55;0,42
Guaiba;04/01/2019;15:00;36;1,22;8,01;26,68;0,44
Guaiba;04/01/2019;16:00;37;0,93;7,51;28,4;0,44
Guaiba;04/01/2019;17:00;34,75;0,78;6,85;28,11;0,42
Guaiba;04/01/2019;18:00;36;0,65;5,31;25,56;0,42
Guaiba;04/01/2019;19:00;32;0,54;4,48;23,6;0,4
Guaiba;04/01/2019;20:00;29,25;0,49;5,39;22,23;0,41
Guaiba;04/01/2019;21:00;29,5;0,41;5,27;22,32;0,43
Guaiba;04/01/2019;22:00;25,75;0,43;4,07;23,58;0,43
Guaiba;04/01/2019;23:00;22,75;0,34;3,67;24,45;0,41
Guaiba;05/01/2019;0:00;21,25;0,3;2,48;24,05;0,4
Guaiba;05/01/2019;1:00;20;0,26;2,18;24;0,39
Guaiba;05/01/2019;2:00;20,25;0,31;1,44;25,84;0,38
Guaiba;05/01/2019;3:00;20;0,27;1,75;24,3;0,38
Guaiba;05/01/2019;4:00;19;0,25;1,5;24,92;0,38
Guaiba;05/01/2019;5:00;18,5;0,26;2,21;25,02;0,38
Guaiba;05/01/2019;6:00;18,75;0,27;2,73;27,37;0,38
Guaiba;05/01/2019;7:00;18,5;0,25;3,1;28,9;0,38
Guaiba;05/01/2019;8:00;18,5;0,27;2,89;31,35;0,38
Guaiba;05/01/2019;9:00;23;0,3;2,47;31,14;0,39
Guaiba;05/01/2019;10:00;23;0,33;2,64;31,07;0,39
Guaiba;05/01/2019;11:00;23,5;0,42;3,5;34;0,4
Guaiba;05/01/2019;12:00;18,75;0,42;2,64;34,78;0,39
Guaiba;05/01/2019;13:00;16,5;0,42;2,4;35,47;0,41
Guaiba;05/01/2019;14:00;13;0,4;2,9;35,87;0,41
Guaiba;05/01/2019;15:00;14,25;0,5;3,29;36,68;0,43
Guaiba;05/01/2019;16:00;18;0,42;4,02;36,03;0,44
Guaiba;05/01/2019;17:00;16,75;0,41;3,88;35,53;0,43
Guaiba;05/01/2019;18:00;21,25;0,39;2,86;35,13;0,4
Guaiba;05/01/2019;19:00;22;0,28;3,11;31,9;0,4
Guaiba;05/01/2019;20:00;23,25;0,26;4,13;27,85;0,41
Guaiba;05/01/2019;21:00;24,5;0,23;4,8;25,5;0,44
Guaiba;05/01/2019;22:00;25,25;0,26;7,46;20,89;0,49
Guaiba;05/01/2019;23:00;22,25;0,26;5,61;20,51;0,48
Guaiba;06/01/2019;0:00;18,5;0,23;6,37;17,24;0,48
Guaiba;06/01/2019;1:00;17;0,26;7,76;16,08;0,48
Guaiba;06/01/2019;2:00;16,25;0,22;5,59;16,7;0,45
Guaiba;06/01/2019;3:00;14,75;0,33;7,19;13,91;0,44
Guaiba;06/01/2019;4:00;17,5;0,34;15,2;3,79;0,47
Guaiba;06/01/2019;5:00;21,75;0,34;17,73;1,54;0,53
Guaiba;06/01/2019;6:00;35,5;0,46;16,7;1,2;0,57
Guaiba;06/01/2019;7:00;31,5;0,5;9,76;9,77;0,51
Guaiba;06/01/2019;8:00;14,75;1,19;3,95;18,72;0,43
Guaiba;06/01/2019;9:00;17,5;2,86;3,64;21,23;0,43
Guaiba;06/01/2019;10:00;16,75;1,86;1,98;31,73;0,42
Guaiba;06/01/2019;11:00;18,5;2,21;2,54;45,88;0,43
Guaiba;06/01/2019;12:00;13,5;2,73;2,36;57,16;0,43
Guaiba;06/01/2019;13:00;13,25;1,48;1,79;55,36;0,43
Guaiba;06/01/2019;14:00;10,75;1,74;2,31;65,54;0,44
Guaiba;06/01/2019;15:00;12;2,09;2,24;72,49;0,43
Guaiba;06/01/2019;16:00;14;2,11;2,92;79,18;0,44
Guaiba;06/01/2019;17:00;35,5;5,12;10,81;54,59;0,46
Guaiba;06/01/2019;18:00;26,5;2,5;5,2;42,59;0,45
Guaiba;06/01/2019;19:00;27;1,11;5,59;34,39;0,46
Guaiba;06/01/2019;20:00;28,25;0,72;6,58;28,47;0,49
Guaiba;06/01/2019;21:00;31,75;0,57;8,17;23,17;0,54
Guaiba;06/01/2019;22:00;31,5;0,37;7,08;20,23;0,52
Guaiba;06/01/2019;23:00;28;0,24;6,36;18,47;0,51
Guaiba;07/01/2019;0:00;27,5;0,18;9,4;11,62;0,5
Guaiba;07/01/2019;1:00;25,25;0,16;12,61;6,7;0,54
Guaiba;07/01/2019;2:00;26,25;0,29;18,58;1,27;0,56
Guaiba;07/01/2019;3:00;32,5;0,33;17,84;0,49;0,55
Guaiba;07/01/2019;4:00;26,5;0,29;14,92;0,49;0,52
Guaiba;07/01/2019;5:00;27,5;0,25;13,97;0,49;0,52
Guaiba;07/01/2019;6:00;16,75;0,2;13,7;4,67;0,54
Guaiba;07/01/2019;7:00;72,25;0,24;18,33;7,89;0,58
Guaiba;07/01/2019;8:00;42;0,27;19,31;15,89;0,62
Guaiba;07/01/2019;9:00;24,25;0,19;6,07;29,12;0,54
Guaiba;07/01/2019;10:00;21,5;0,13;3,7;36,36;0,52
Guaiba;07/01/2019;11:00;13,5;0,15;3,08;35,86;0,51
Guaiba;07/01/2019;12:00;16,5;0,065;3,1;36,85;0,5
Guaiba;07/01/2019;13:00;18,25;0,065;2,9;36,46;0,49
Guaiba;07/01/2019;14:00;24,25;0,065;3,83;36,41;0,5
Guaiba;07/01/2019;15:00;14,25;0,065;4,91;31,49;0,48
Guaiba;07/01/2019;16:00;12,25;0,065;7,7;24,45;0,51
Guaiba;07/01/2019;17:00;6,33;0,065;5,14;24,74;0,5
Guaiba;07/01/2019;18:00;6,25;0,065;3,76;27,58;0,48
Guaiba;07/01/2019;19:00;5,33;0,065;3,04;32,84;0,46
Guaiba;07/01/2019;20:00;9,5;0,065;4,69;33,57;0,45
Guaiba;07/01/2019;21:00;16,25;0,065;6,95;26,85;0,46
Guaiba;07/01/2019;22:00;6,5;0,065;4,14;28,94;0,46
Guaiba;07/01/2019;23:00;12,5;0,065;6;26,45;0,46
Guaiba;08/01/2019;0:00;14,5;0,16;15,14;16,72;0,48
Guaiba;08/01/2019;1:00;15,5;0,065;11,71;17,73;0,48
Guaiba;08/01/2019;2:00;14,25;0,14;10,53;15,61;0,47
Guaiba;08/01/2019;3:00;14;0,14;6,27;18,51;0,46
Guaiba;08/01/2019;4:00;16,25;0,14;9,54;14,94;0,47
Guaiba;08/01/2019;5:00;19;0,15;12,27;10,83;0,48
Guaiba;08/01/2019;6:00;22,75;0,18;11,72;10,62;0,49
Guaiba;08/01/2019;7:00;30,5;0,22;7,76;14,79;0,5
Guaiba;08/01/2019;8:00;20,5;0,25;4,76;20,94;0,48
Guaiba;08/01/2019;9:00;16;0,36;3,12;33,56;0,46
Guaiba;08/01/2019;10:00;12,75;0,39;1,02;45,22;0,43
Guaiba;08/01/2019;11:00;15;0,41;1,1;49,58;0,43
Guaiba;08/01/2019;12:00;14,25;0,45;1;51,99;0,43
Guaiba;08/01/2019;13:00;12,5;0,43;0,83;53,14;0,41
Guaiba;08/01/2019;14:00;14;0,48;2,44;56,84;0,43
Guaiba;08/01/2019;15:00;9;0,92;2,33;72,09;0,42
Guaiba;08/01/2019;16:00;28;1,66;10,51;70,05;0,47
Guaiba;08/01/2019;17:00;32,25;5,85;26,17;50,28;0,54
Guaiba;08/01/2019;18:00;23,25;1,63;8,72;56,93;0,52
Guaiba;08/01/2019;19:00;16,5;0,84;5,9;50,46;0,49
Guaiba;08/01/2019;20:00;14,25;0,54;5,31;46,72;0,48
Guaiba;08/01/2019;21:00;17;0,48;6,82;42,52;0,5
Guaiba;08/01/2019;22:00;19;0,38;6,41;39,59;0,51
Guaiba;08/01/2019;23:00;15,5;0,24;7,31;35,41;0,53
Guaiba;09/01/2019;0:00;9,5;0,31;5,52;35,4;0,5
Guaiba;09/01/2019;1:00;9,75;0,22;5,05;32,07;0,5
Guaiba;09/01/2019;2:00;6,75;0,24;3,57;33,01;0,48
Guaiba;09/01/2019;3:00;11;0,23;8,16;27,78;0,49
Guaiba;09/01/2019;4:00;20,5;0,29;20,24;9,24;0,56
Guaiba;09/01/2019;5:00;18,75;0,23;22,61;6,86;0,54
Guaiba;09/01/2019;6:00;21,5;0,39;33,87;0,49;0,59
Guaiba;09/01/2019;7:00;26,25;0,5;27,21;4,02;0,65
Guaiba;09/01/2019;8:00;27,25;0,47;23,3;10,8;0,61
Guaiba;09/01/2019;9:00;36,75;0,59;26,45;9,44;0,65
Guaiba;09/01/2019;10:00;21,25;0,34;9,98;15,35;0,56
Guaiba;09/01/2019;11:00;5;0,27;2,24;33,83;0,49
Guaiba;09/01/2019;12:00;6;0,31;1,57;44,88;0,46
Guaiba;09/01/2019;13:00;12,33;0,33;1,26;45,87;0,45
Guaiba;09/01/2019;14:00;3,67;0,34;1,2;47,11;0,44
Guaiba;09/01/2019;15:00;4;0,32;1,7;47,2;0,44
Guaiba;09/01/2019;16:00;;0,28;2;46,2;0,43
Guaiba;09/01/2019;17:00;5,5;0,31;3,13;42,59;0,45
Guaiba;09/01/2019;18:00;7,25;0,26;3,64;45,7;0,46
Guaiba;09/01/2019;19:00;16,25;0,22;9,62;37,07;0,47
Guaiba;09/01/2019;20:00;19;0,2;23,5;19,23;0,54
Guaiba;09/01/2019;21:00;27,75;0,25;21,64;21,2;0,59
Guaiba;09/01/2019;22:00;41,25;0,46;27,29;15,91;0,78
Guaiba;09/01/2019;23:00;25,75;0,62;13,11;27,15;0,55
Guaiba;10/01/2019;0:00;14,5;0,42;6,65;29,2;0,5
Guaiba;10/01/2019;1:00;17;0,31;6,97;28,31;0,49
Guaiba;10/01/2019;2:00;9,33;0,2;5,73;26,4;0,49
Guaiba;10/01/2019;3:00;12,75;0,22;5,68;23,31;0,49
Guaiba;10/01/2019;4:00;14,75;0,19;5,59;26,45;0,5
Guaiba;10/01/2019;5:00;13;0,15;5,13;28,42;0,5
Guaiba;10/01/2019;6:00;16,5;0,17;7,24;24,97;0,53
Guaiba;10/01/2019;7:00;26;0,19;12,79;21,79;0,57
Guaiba;10/01/2019;8:00;32,5;0,16;17,04;21,08;0,6
Guaiba;10/01/2019;9:00;39;0,21;11,17;27,02;0,59
Guaiba;10/01/2019;10:00;38,5;0,17;5,09;42,56;0,57
Guaiba;10/01/2019;11:00;24;0,2;3,83;44,61;0,54
Guaiba;10/01/2019;12:00;23;0,17;3,14;46,34;0,53
Guaiba;10/01/2019;13:00;19,5;0,19;2,08;49,31;0,54
Guaiba;10/01/2019;14:00;13,75;0,13;4,05;48,95;0,54
Guaiba;10/01/2019;15:00;8,33;0,19;5,32;53,3;0,52
Guaiba;10/01/2019;16:00;19,75;0,26;7,25;58,09;0,55
Guaiba;10/01/2019;17:00;22,25;0,33;9,2;64,78;0,56
Guaiba;10/01/2019;18:00;25,75;0,46;10,72;62,53;0,56
Guaiba;10/01/2019;19:00;24,25;0,41;10,69;40,96;0,57
Guaiba;10/01/2019;20:00;30,25;0,28;14,88;33,31;0,68
Guaiba;10/01/2019;21:00;17,75;0,25;12,41;33,7;0,63
Guaiba;10/01/2019;22:00;12,25;0,18;8;39,55;0,55
Guaiba;10/01/2019;23:00;25,5;0,2;12,16;28,49;0,55
Guaiba;11/01/2019;0:00;15,75;0,21;6,36;28,47;0,56
Guaiba;11/01/2019;1:00;2,5;0,16;3,2;31,98;0,51
Guaiba;11/01/2019;2:00;6;0,065;3,32;30,8;0,5
Guaiba;11/01/2019;3:00;8;0,17;1,95;32,16;0,5
Guaiba;11/01/2019;4:00;6,33;0,15;1,99;37,9;0,49
Guaiba;11/01/2019;5:00;14,75;0,18;3,61;33,05;0,52
Guaiba;11/01/2019;6:00;9;0,21;5,54;30,83;0,5
Guaiba;11/01/2019;7:00;18,75;0,23;10,78;25,01;0,55
Guaiba;11/01/2019;8:00;16,75;0,21;6,48;28,62;0,51
Guaiba;11/01/2019;9:00;14,5;0,24;5,77;31,59;0,48
Guaiba;11/01/2019;10:00;21;0,3;5,1;34,15;0,51
Guaiba;11/01/2019;11:00;18,25;0,26;4,99;33,38;0,49
Guaiba;11/01/2019;12:00;19,5;0,22;3,08;32,73;0,48
Guaiba;11/01/2019;13:00;7,25;0,23;4,17;37,58;0,5
Guaiba;11/01/2019;14:00;11,25;0,2;4,68;36,96;0,5
Guaiba;11/01/2019;15:00;7,67;0,25;6,09;34,37;0,49
Guaiba;11/01/2019;16:00;13,33;0,25;5,88;33,61;0,49
Guaiba;11/01/2019;17:00;12,75;0,32;6,03;35,52;0,48
Guaiba;11/01/2019;18:00;15,25;0,29;5,58;29,9;0,48
Guaiba;11/01/2019;19:00;14;0,62;9,91;31,83;0,48
Guaiba;11/01/2019;20:00;16,75;1,7;7,61;33,28;0,47
Guaiba;11/01/2019;21:00;23,25;0,73;3,19;35,02;0,48
Guaiba;11/01/2019;22:00;17,5;0,41;3,11;34,37;0,48
Guaiba;11/01/2019;23:00;15;0,34;4,25;31,55;0,5
Guaiba;12/01/2019;0:00;11,5;0,33;2,58;32,4;0,47
Guaiba;12/01/2019;1:00;12,25;0,27;1,5;34,06;0,46
Guaiba;12/01/2019;2:00;13;0,28;1,35;33,13;0,45
Guaiba;12/01/2019;3:00;13,5;0,24;1,09;33,18;0,46
Guaiba;12/01/2019;4:00;13,75;0,23;1,16;33,1;0,45
Guaiba;12/01/2019;5:00;14,5;0,21;1,38;33,26;0,45
Guaiba;12/01/2019;6:00;15,25;0,22;2,74;32,23;0,46
Guaiba;12/01/2019;7:00;15,75;0,22;3,85;31,56;0,46
Guaiba;12/01/2019;8:00;19,75;0,25;4,44;30,55;0,49
Guaiba;12/01/2019;9:00;20,25;0,29;5,8;29,79;0,51
Guaiba;12/01/2019;10:00;18,75;0,31;3,49;33,33;0,49
Guaiba;12/01/2019;11:00;18;0,34;3,64;34,14;0,49
Guaiba;12/01/2019;12:00;18,75;0,33;3,45;34,66;0,49
Guaiba;12/01/2019;13:00;19,5;0,33;3,62;35,11;0,49
Guaiba;12/01/2019;14:00;18,25;0,29;3,98;33,91;0,51
Guaiba;12/01/2019;15:00;16,75;0,25;4,27;33,45;0,51
Guaiba;12/01/2019;16:00;23;0,3;4,62;32,22;0,52
Guaiba;12/01/2019;17:00;19;0,26;4,07;28,98;0,51
Guaiba;12/01/2019;18:00;21,25;0,21;4,43;28,14;0,53
Guaiba;12/01/2019;19:00;22,5;0,2;4,01;27,29;0,51
Guaiba;12/01/2019;20:00;18,25;0,23;4,46;24,44;0,54
Guaiba;12/01/2019;21:00;18,5;0,19;3,79;24,96;0,54
Guaiba;12/01/2019;22:00;18,75;0,18;3,62;26,25;0,54
Guaiba;12/01/2019;23:00;14;0,15;2,97;27,19;0,53
Guaiba;13/01/2019;0:00;13,25;0,13;4,87;23,77;0,57
Guaiba;13/01/2019;1:00;13;0,14;7,25;19,76;0,61
Guaiba;13/01/2019;2:00;6;0,19;9,26;13,98;0,6
Guaiba;13/01/2019;3:00;12,75;0,2;14,57;4,11;0,65
Guaiba;13/01/2019;4:00;11,25;0,2;12,45;5,54;0,58
Guaiba;13/01/2019;5:00;12,5;0,2;15,06;2,49;0,62
Guaiba;13/01/2019;6:00;13;0,32;17,48;1,13;0,71
Guaiba;13/01/2019;7:00;;0,29;12,69;6,5;0,67
Guaiba;13/01/2019;8:00;;0,19;5,15;16,21;0,53
Guaiba;13/01/2019;9:00;1;0,19;2,88;24,51;0,53
Guaiba;13/01/2019;10:00;2;0,16;2,02;38,2;0,53
Guaiba;13/01/2019;11:00;11,75;0,17;2,37;62,53;0,52
Guaiba;13/01/2019;12:00;12,75;0,37;9,8;72,63;0,55
Guaiba;13/01/2019;13:00;11,25;0,85;9,74;86;0,53
Guaiba;13/01/2019;14:00;12;1,26;8,86;73,83;0,52
Guaiba;13/01/2019;15:00;13,5;9,24;42,89;37,99;0,53
Guaiba;13/01/2019;16:00;13;4,16;5;56,61;0,52
Guaiba;13/01/2019;17:00;10,25;1,83;3,68;55,64;0,51
Guaiba;13/01/2019;18:00;20,75;1,06;3,93;55;0,54
Guaiba;13/01/2019;19:00;30;0,82;7,41;50,89;0,57
Guaiba;13/01/2019;20:00;12,75;0,71;7,79;50,85;0,53
Guaiba;13/01/2019;21:00;10,5;0,51;7,76;50,23;0,58
Guaiba;13/01/2019;22:00;26,75;0,42;15,71;34,57;0,61
Guaiba;13/01/2019;23:00;21,5;0,29;12,23;27,3;0,57
Guaiba;14/01/2019;0:00;12,75;0,23;6,78;28,08;0,54
Guaiba;14/01/2019;1:00;13;0,16;6,99;21,05;0,56
Guaiba;14/01/2019;2:00;9,25;0,17;5,12;23,2;0,56
Guaiba;14/01/2019;3:00;8,75;0,14;3,63;25,28;0,56
Guaiba;14/01/2019;4:00;7,75;0,17;5,96;22,69;0,56
Guaiba;14/01/2019;5:00;10,5;0,15;14,12;10,95;0,57
Guaiba;14/01/2019;6:00;55,75;0,18;22,34;4,61;0,6
Guaiba;14/01/2019;7:00;24,5;0,16;10,07;14,7;0,61
Guaiba;14/01/2019;8:00;1;0,16;5,67;21,64;0,59
Guaiba;14/01/2019;9:00;4,25;0,14;4,63;31,05;0,57
Guaiba;14/01/2019;10:00;34,5;0,38;5,18;41,82;0,82
Guaiba;14/01/2019;11:00;14,25;0,18;4,04;60,03;0,57
Guaiba;14/01/2019;12:00;8;0,065;1,52;47,56;0,56
Guaiba;14/01/2019;13:00;9,5;0,14;1,58;49,91;0,54
Guaiba;14/01/2019;14:00;10,25;0,15;1,6;49,82;0,52
Guaiba;14/01/2019;15:00;14;0,17;2;49,59;0,52
Guaiba;14/01/2019;16:00;10;0,17;2,31;51,82;0,51
Guaiba;14/01/2019;17:00;12,75;0,19;3,46;49,6;0,52
Guaiba;14/01/2019;18:00;26;0,14;10,37;43,23;0,58
Guaiba;14/01/2019;19:00;26,25;0,16;12;37,19;0,63
Guaiba;14/01/2019;20:00;5,75;0,15;4,36;39,4;0,54
Guaiba;14/01/2019;21:00;12;0,065;9,69;28,56;0,6
Guaiba;14/01/2019;22:00;11,75;0,2;25,87;6,5;0,65
Guaiba;14/01/2019;23:00;14;0,15;13,52;13,74;0,61
Guaiba;15/01/2019;0:00;11,25;0,16;10,05;13,28;0,56
Guaiba;15/01/2019;1:00;10,75;0,14;7,09;17,68;0,55
Guaiba;15/01/2019;2:00;11;0,065;6,59;16,72;0,55
Guaiba;15/01/2019;3:00;10,25;0,14;7,81;15,58;0,55
Guaiba;15/01/2019;4:00;8,5;0,065;5,06;25,74;0,55
Guaiba;15/01/2019;5:00;9,5;0,065;10,41;22,28;0,56
Guaiba;15/01/2019;6:00;12,75;0,065;21,04;10,72;0,6
Guaiba;15/01/2019;7:00;35,25;0,41;15,89;14,74;0,8
Guaiba;15/01/2019;8:00;14;0,2;5,43;21,93;0,56
Guaiba;15/01/2019;9:00;15,25;0,065;2,37;27,38;0,55
Guaiba;15/01/2019;10:00;14,25;0,14;1,43;35,21;0,55
Guaiba;15/01/2019;11:00;13,5;0,065;1,32;40,52;0,55
Guaiba;15/01/2019;12:00;12,25;0,065;1,27;46,73;0,55
Guaiba;15/01/2019;13:00;8,25;0,065;1,45;51,97;0,54
Guaiba;15/01/2019;14:00;5,25;0,065;1,43;54,85;0,53
Guaiba;15/01/2019;15:00;14;0,065;1,69;57,71;0,53
Guaiba;15/01/2019;16:00;16;0,065;2,52;58,98;0,54
Guaiba;15/01/2019;17:00;11,25;0,065;3,05;54,38;0,54
Guaiba;15/01/2019;18:00;20;0,14;4,64;52,44;0,56
Guaiba;15/01/2019;19:00;14,75;0,16;18,34;47,15;0,63
Guaiba;15/01/2019;20:00;36,25;0,18;16,02;49,64;0,69
Guaiba;15/01/2019;21:00;24,5;0,18;10,97;51,54;0,67
Guaiba;15/01/2019;22:00;10,75;0,13;4,41;47,15;0,54
Guaiba;15/01/2019;23:00;12,25;0,14;5,89;39,82;0,56
Guaiba;16/01/2019;0:00;4,5;0,065;3,01;40,39;0,56
Guaiba;16/01/2019;1:00;;0,14;2,43;38,05;0,56
Guaiba;16/01/2019;2:00;5,25;0,13;3,32;36,01;0,57
Guaiba;16/01/2019;3:00;9;0,14;5,08;31,47;0,57
Guaiba;16/01/2019;4:00;13,25;0,065;14,65;17,28;0,59
Guaiba;16/01/2019;5:00;15;0,065;7;22,89;0,59
Guaiba;16/01/2019;6:00;15,75;0,13;8,18;21,83;0,59
Guaiba;16/01/2019;7:00;23,25;0,13;12,41;15,33;0,61
Guaiba;16/01/2019;8:00;27;0,065;5,36;20,43;0,58
Guaiba;16/01/2019;9:00;19,5;0,065;3,22;23,01;0,59
Guaiba;16/01/2019;10:00;29;0,065;2,33;33,78;0,6
Guaiba;16/01/2019;11:00;18,5;0,13;1,89;41,2;0,6
Guaiba;16/01/2019;12:00;14;0,065;1,57;38,2;0,6
Guaiba;16/01/2019;13:00;14,5;0,065;1,59;41,4;0,6
Guaiba;16/01/2019;14:00;4,25;0,065;1,3;39,32;0,57
Guaiba;16/01/2019;15:00;6,5;0,065;1,2;38,79;0,57
Guaiba;16/01/2019;16:00;13,25;0,065;1,46;38,35;0,57
Guaiba;16/01/2019;17:00;5,25;0,065;1,98;37,28;0,57
Guaiba;16/01/2019;18:00;10,75;0,065;2,43;36,92;0,57
Guaiba;16/01/2019;19:00;4,75;0,065;2,8;37,38;0,57
Guaiba;16/01/2019;20:00;8,5;0,065;3,39;36,17;0,57
Guaiba;16/01/2019;21:00;16,25;0,065;7,35;25,92;0,59
Guaiba;16/01/2019;22:00;18;0,065;8,92;20,65;0,61
Guaiba;16/01/2019;23:00;7,75;0,14;8,57;22,47;0,61
Guaiba;17/01/2019;0:00;12;0,15;8,94;24,84;0,63
