CIDADES;jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
SAO LEOPOLDO;1;0;0;0;0;2;2;3;1;4;5;2
SAO LOURENCO DO SUL;0;0;0;1;0;0;0;0;0;0;0;0
SAO LUIZ GONZAGA;0;0;0;0;0;0;0;0;0;1;0;0
SAO MARTINHO DA SERRA;0;0;0;0;0;0;0;0;0;0;0;1
SAO NICOLAU;1;0;0;0;0;0;0;0;0;0;0;0
SAO SEBASTIAO DO CAI;0;1;0;0;0;0;0;0;0;1;0;0
SAO VALENTIM;0;0;0;0;0;0;0;1;0;0;0;0
SAPIRANGA;0;0;1;0;0;0;0;0;0;0;0;0
SAPUCAIA DO SUL;0;0;0;1;0;0;0;0;0;1;0;1
SEBERI;0;1;0;0;0;0;0;0;0;0;0;0
SERTAO SANTANA;0;0;0;0;1;0;0;0;0;0;0;0
SOBRADINHO;0;0;0;0;0;0;0;1;0;0;0;0
SOLEDADE;0;0;0;0;0;0;0;0;0;0;0;1
TAPEJARA;0;0;1;0;0;0;0;0;0;0;0;0
TAQUARA;1;0;0;0;0;0;1;1;0;0;0;0
TAQUARI;0;0;0;0;2;0;0;0;0;0;0;0
TRAMANDAI;1;1;0;0;0;0;0;0;0;0;0;0
TRES PASSOS;1;0;0;0;1;0;0;1;0;1;0;0
URUGUAIANA;1;0;0;0;0;0;0;0;0;0;0;1
VACARIA;0;0;0;2;0;0;0;0;0;0;0;0
VENANCIO AIRES;0;0;0;0;0;0;0;1;0;0;0;0
VERANOPOLIS;0;0;0;0;0;1;0;0;0;0;0;0
VIAMAO;2;0;0;3;2;0;2;0;1;5;1;0
VILA MARIA;0;0;0;0;0;0;0;0;0;0;1;0
