Date,Open,High,Low,Close,Adj Close,Volume
2019-07-19,39.830002,40.259998,39.360001,39.520000,39.520000,270800
2019-07-22,39.709999,40.389999,39.529999,40.009998,40.009998,250500
2019-07-23,40.020000,40.029999,38.630001,38.709999,38.709999,602000
2019-07-24,39.290001,39.709999,39.040001,39.320000,39.320000,378600
2019-07-25,38.939999,39.119999,37.889999,39.000000,39.000000,475500
2019-07-26,40.570000,41.259998,40.070000,40.919998,40.919998,613700
2019-07-29,40.639999,41.959999,40.439999,41.939999,41.939999,390100
2019-07-30,41.750000,42.310001,41.299999,41.779999,41.779999,407900
2019-07-31,42.220001,42.439999,40.070000,40.700001,40.700001,419100
2019-08-01,40.660000,42.410000,40.599998,41.660000,41.660000,609300
2019-08-02,41.439999,41.770000,40.380001,41.250000,41.250000,364100
2019-08-05,39.770000,39.980000,38.349998,39.110001,39.110001,328300
2019-08-06,39.810001,40.349998,39.419998,40.070000,40.070000,171500
2019-08-07,39.590000,40.130001,38.590000,40.040001,40.040001,356500
2019-08-08,41.270000,41.740002,40.869999,41.660000,41.660000,530400
2019-08-09,42.650002,43.136002,41.639999,41.930000,41.930000,398600
2019-08-12,39.259998,41.189999,38.540001,40.919998,40.919998,570000
2019-08-13,40.070000,41.720001,39.230000,40.709999,40.709999,520400
2019-08-14,39.580002,40.022999,37.639999,37.980000,37.980000,722700
2019-08-15,38.090000,38.529999,37.020000,37.740002,37.740002,353200
2019-08-16,38.119999,38.389999,37.279999,37.639999,37.639999,578700
2019-08-19,38.480000,38.480000,36.060001,36.529999,36.529999,316900
2019-08-20,35.990002,37.060001,35.599998,36.669998,36.669998,407100
2019-08-21,37.130001,37.720001,36.900002,37.549999,37.549999,369500
2019-08-22,37.209999,37.270000,35.820000,35.889999,35.889999,359400
2019-08-23,35.150002,35.800999,33.959999,34.250000,34.250000,587400
2019-08-26,34.560001,34.790001,33.189999,33.389999,33.389999,475300
2019-08-27,33.639999,33.930000,32.310001,33.020000,33.020000,854800
2019-08-28,33.049999,33.700001,32.849998,33.330002,33.330002,721100
2019-08-29,33.540001,35.299999,32.695000,35.169998,35.169998,1036800
2019-08-30,35.650002,35.994999,34.529999,35.119999,35.119999,1035400
2019-09-03,34.119999,34.689999,32.810001,33.180000,33.180000,954400
2019-09-04,33.759998,34.430000,33.419998,34.360001,34.360001,290600
2019-09-05,35.360001,36.139999,35.340000,35.990002,35.990002,468900
2019-09-06,36.990002,37.490002,36.060001,36.130001,36.130001,581500
2019-09-09,36.090000,36.580002,34.820000,35.020000,35.020000,622900
2019-09-10,34.790001,35.099998,34.330002,35.080002,35.080002,209700
2019-09-11,35.939999,36.924999,35.869999,36.389999,36.389999,875100
2019-09-12,37.389999,38.814999,36.869999,38.369999,38.369999,562200
2019-09-13,38.750000,38.840000,37.240002,37.320000,37.320000,288200
2019-09-16,36.070000,36.139999,34.110001,34.389999,34.389999,2433000
2019-09-17,35.110001,36.029999,34.810001,35.759998,35.759998,783300
2019-09-18,35.389999,36.009998,34.990002,35.959999,35.959999,522600
2019-09-19,36.049999,36.349998,35.450001,35.529999,35.529999,355500
2019-09-20,35.259998,35.320000,34.520000,34.950001,34.950001,617900
2019-09-23,34.590000,34.680000,34.340000,34.520000,34.520000,314600
2019-09-24,34.810001,34.849998,33.849998,34.090000,34.090000,297500
2019-09-25,33.660000,35.110001,33.650002,34.880001,34.880001,313800
2019-09-26,35.349998,35.980000,34.980000,35.939999,35.939999,408300
2019-09-27,35.090000,35.910000,35.090000,35.689999,35.689999,408600
2019-09-30,35.730000,36.009998,35.320000,35.820000,35.820000,380700
2019-10-01,35.910000,35.910000,34.790001,35.230000,35.230000,378100
2019-10-02,34.650002,34.830002,33.750000,34.770000,34.770000,672500
2019-10-03,35.009998,36.860001,34.639999,36.430000,36.430000,944000
2019-10-04,36.599998,37.860001,36.340000,37.779999,37.779999,613800
2019-10-07,37.700001,37.869999,36.779999,36.970001,36.970001,248700
2019-10-08,37.250000,37.849998,36.590000,36.650002,36.650002,707700
2019-10-09,37.310001,37.320000,36.099998,36.180000,36.180000,516600
2019-10-10,35.799999,36.299999,35.669998,36.060001,36.060001,403400
2019-10-11,36.330002,37.148998,36.230000,36.840000,36.840000,492300
2019-10-14,36.740002,37.380001,36.740002,37.220001,37.220001,263000
2019-10-15,37.029999,37.314999,36.740002,36.750000,36.750000,285600
2019-10-16,36.240002,36.910000,36.000000,36.820000,36.820000,367900
2019-10-17,37.680000,37.720001,36.720001,36.779999,36.779999,441700
2019-10-18,36.669998,37.209999,36.509998,37.090000,37.090000,342000
2019-10-21,36.799999,37.161999,36.549999,36.959999,36.959999,280400
2019-10-22,37.290001,39.040001,37.259998,38.990002,38.990002,939400
2019-10-23,38.430000,39.220001,38.430000,38.700001,38.700001,389300
2019-10-24,39.000000,39.619999,38.720001,39.180000,39.180000,382600
2019-10-25,39.290001,40.110001,38.910000,39.000000,39.000000,562300
2019-10-28,39.660000,40.160000,39.383999,39.720001,39.720001,577600
2019-10-29,39.400002,39.980000,39.369999,39.959999,39.959999,347800
2019-10-30,39.560001,40.115002,39.139999,39.959999,39.959999,403000
2019-10-31,39.889999,39.889999,38.700001,38.980000,38.980000,355700
2019-11-01,39.250000,40.290001,39.209999,40.139999,40.139999,466300
2019-11-04,40.490002,40.549999,39.669998,40.070000,40.070000,217500
2019-11-05,40.119999,40.169998,39.310001,39.930000,39.930000,364600
2019-11-06,39.020000,39.200001,38.040001,38.270000,38.270000,282500
2019-11-07,37.869999,38.709999,37.130001,38.220001,38.220001,661600
2019-11-08,37.299999,37.549999,35.750000,36.130001,36.130001,792800
2019-11-11,35.930000,36.709999,35.759998,36.540001,36.540001,571800
2019-11-12,35.610001,35.910000,34.950001,35.009998,35.009998,529400
2019-11-13,34.759998,34.970001,34.150002,34.570000,34.570000,374300
2019-11-14,35.220001,36.080002,35.119999,35.900002,35.900002,661700
2019-11-15,35.930000,37.279999,35.919998,37.139999,37.139999,547700
2019-11-18,36.990002,37.139999,36.090000,36.209999,36.209999,795600
2019-11-19,36.200001,36.250000,35.570000,35.990002,35.990002,238700
2019-11-20,35.970001,36.310001,35.900002,36.220001,36.220001,230500
2019-11-21,36.779999,37.340000,36.310001,37.290001,37.290001,556500
2019-11-22,37.930000,38.930000,37.810001,38.900002,38.900002,708000
2019-11-25,38.250000,38.689999,38.090000,38.270000,38.270000,407900
2019-11-26,36.270000,37.279999,35.349998,36.279999,36.279999,796700
2019-11-27,35.869999,36.139999,35.450001,35.860001,35.860001,324100
2019-11-29,37.360001,37.810001,36.860001,37.240002,37.240002,230700
2019-12-02,37.430000,37.709999,37.310001,37.549999,37.549999,305200
2019-12-03,37.660000,38.200001,37.400002,38.200001,38.200001,378900
2019-12-04,38.590000,38.599998,37.759998,37.799999,37.799999,270600
2019-12-05,37.939999,38.650002,37.860001,38.200001,38.200001,420300
2019-12-06,38.720001,39.680000,37.919998,39.150002,39.150002,995000
2019-12-09,39.639999,39.910000,39.200001,39.470001,39.470001,262900
2019-12-10,38.480000,38.599998,37.880001,38.529999,38.529999,400100
2019-12-11,39.400002,39.880001,39.000000,39.709999,39.709999,389400
2019-12-12,39.509998,40.509998,39.509998,40.259998,40.259998,193600
2019-12-13,41.000000,41.590000,40.700001,41.450001,41.450001,400900
2019-12-16,42.279999,42.279999,41.785000,42.090000,42.090000,374500
2019-12-17,41.950001,42.150002,41.610001,41.810001,41.810001,305200
2019-12-18,42.259998,42.820000,41.990002,42.439999,42.439999,286600
2019-12-19,41.799999,42.770000,41.799999,42.490002,42.490002,531300
2019-12-20,41.770000,42.189999,41.270000,41.560001,41.560001,431000
2019-12-23,41.939999,42.650002,41.700001,42.330002,42.330002,176800
2019-12-24,42.320000,42.500000,42.009998,42.160000,42.160000,58100
2019-12-26,42.520000,42.630001,42.080002,42.240002,42.240002,717200
2019-12-27,42.310001,42.630001,41.900002,42.630001,42.630001,637100
2019-12-30,42.980000,43.799999,42.740002,43.320000,43.320000,262800
2019-12-31,43.099998,43.630001,42.310001,42.799999,42.799999,140600
2020-01-02,43.610001,44.080002,43.150002,43.590000,43.590000,532300
2020-01-03,42.590000,43.029999,42.000000,42.040001,42.040001,431200
2020-01-06,40.470001,41.040001,40.230000,40.450001,40.450001,431200
2020-01-07,40.740002,42.070000,40.500000,41.700001,41.700001,556500
2020-01-08,41.560001,42.630001,41.299999,42.040001,42.040001,633800
2020-01-09,42.430000,42.790001,41.770000,41.840000,41.840000,320100
2020-01-10,42.610001,42.680000,41.660000,41.919998,41.919998,276900
2020-01-13,41.869999,42.200001,41.759998,42.000000,42.000000,573200
2020-01-14,42.380001,43.000000,42.060001,42.660000,42.660000,411300
2020-01-15,42.580002,42.700001,42.110001,42.360001,42.360001,152500
2020-01-16,43.040001,43.320000,42.279999,42.330002,42.330002,332100
2020-01-17,43.240002,44.060001,42.919998,44.020000,44.020000,291300
2020-01-21,43.490002,43.580002,42.610001,42.820000,42.820000,349200
2020-01-22,43.529999,43.650002,41.930000,42.720001,42.720001,411000
2020-01-23,42.000000,44.009998,41.849998,43.830002,43.830002,325800
2020-01-24,43.759998,44.110001,42.439999,42.599998,42.599998,368100
2020-01-27,40.930000,41.599998,40.240002,40.750000,40.750000,486900
2020-01-28,43.459999,44.549999,41.750000,44.299999,44.299999,580500
2020-01-29,43.750000,43.910000,42.099998,42.310001,42.310001,297900
2020-01-30,40.450001,42.150002,40.450001,42.029999,42.029999,555700
2020-01-31,41.160000,41.680000,40.880001,41.500000,41.500000,422300
2020-02-03,42.139999,43.299999,42.080002,42.740002,42.740002,226500
2020-02-04,42.880001,43.299999,42.619999,42.810001,42.810001,169100
2020-02-05,43.720001,43.750000,43.180000,43.430000,43.430000,200100
2020-02-06,43.220001,43.240002,41.200001,41.320000,41.320000,410900
2020-02-07,40.700001,40.950001,39.209999,39.310001,39.310001,602200
2020-02-10,39.000000,39.400002,38.389999,39.169998,39.169998,557300
2020-02-11,40.230000,40.750000,39.840000,40.290001,40.290001,431700
2020-02-12,40.919998,41.750000,40.599998,40.900002,40.900002,337000
2020-02-13,40.389999,40.869999,40.220001,40.459999,40.459999,180400
2020-02-14,41.040001,41.639999,41.020000,41.520000,41.520000,237600
